# fsae control log — tag=stanley
# t0_epoch_s=1786481627.9241  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# lap_time_s=53.0998
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.302614
# n_steps=1206
# rmse=0.138014
# peak_lateral_error_m=0.410403
# speed_rmse_mps=2.504506
# yaw_rms_radps=0.437304
# max_yaw_rate_radps=1.535486
# control_smooth_rms=0.034204
# jerk_rms=0.057833
# steer_rms=0.118301
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.003317
# steering_reversal_rms=0.002916
# steering_reversal_rate=0.003317
# steering_reversals=4
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff
3.2993,28.8420,2.5300,0.16252,14.233,13.908,1.298,-0.0593,1.431,0.0621,0.022659,0.0000,0,0,,0.0431,,,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3494,29.2607,2.6027,0.16462,14.046,13.908,1.609,-0.0569,1.654,0.0457,0.028083,0.0000,0,0,,0.0423,,,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3996,29.7148,2.6833,0.16751,13.836,13.739,1.512,-0.0517,1.726,0.0721,0.026390,0.0000,0,0,,0.0443,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4500,30.1625,2.7641,0.17084,13.649,13.569,1.370,-0.0503,1.785,0.1068,0.023905,0.0000,0,0,,0.0455,,,0.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4995,31.0109,2.9222,0.17853,13.277,13.222,1.497,-0.0528,1.885,0.1047,0.026128,0.0000,0,0,,0.0426,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5495,31.4402,3.0054,0.18327,13.115,13.045,1.187,-0.0533,1.903,0.1628,0.020719,0.0000,0,0,,0.0452,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5995,32.2321,3.1639,0.19303,12.865,12.683,1.282,-0.0549,1.824,0.1340,0.022383,0.0000,0,0,,0.0442,,,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6496,32.6482,3.2507,0.19876,12.749,12.498,0.721,-0.0684,1.651,0.2120,0.012585,0.0000,0,0,,0.0442,,,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6992,33.3920,3.4109,0.20932,12.549,12.120,0.543,-0.0732,1.090,0.1493,0.009485,0.0000,0,0,,0.0418,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7496,33.7960,3.5013,0.21523,12.416,12.120,0.057,-0.0380,1.010,0.1946,0.000995,0.0000,0,0,,0.0443,,,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7995,34.1597,3.5834,0.22016,12.284,11.927,0.438,-0.0199,1.026,0.1177,0.007644,0.0000,0,0,,0.0433,,,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8499,34.9430,3.7622,0.22824,11.962,11.530,0.609,-0.0134,1.258,0.1236,0.010629,0.0000,0,0,,0.0438,,,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8995,35.2641,3.8361,0.23045,11.816,11.325,1.173,-0.0183,1.402,0.0542,0.020479,0.0000,0,0,,0.0432,,,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9498,35.6418,3.9253,0.23269,11.643,11.325,1.287,-0.0264,1.506,0.0591,0.022469,0.0000,0,0,,0.0451,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9996,36.3218,4.0900,0.23645,11.325,10.906,1.157,-0.0549,1.145,0.0424,0.020191,0.0000,0,0,,0.0421,,,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
