t,idx,x,y
14.4004,42,21.1848,60.9222
14.4004,43,20.9062,60.5180
14.4004,44,20.7928,60.0812
14.4004,45,20.9862,59.6813
14.4004,46,21.3890,59.4641
14.4004,47,21.6748,59.3796
14.4004,48,21.8607,59.3058
14.4004,49,22.0594,59.2839
14.4004,50,22.2583,59.2627
15.4016,0,23.6081,75.8415
15.4016,1,23.4387,75.3712
15.4016,2,23.2992,74.8914
15.4016,3,23.1894,74.4038
15.4016,4,23.1091,73.9106
15.4016,5,23.0579,73.4133
15.4016,6,23.0372,72.9138
15.4016,7,23.0411,72.4140
15.4016,8,23.0688,71.9149
15.4016,9,23.1199,71.4177
15.4016,10,23.1961,70.9236
15.4016,11,23.2936,70.4333
15.4016,12,23.4106,69.9473
15.4016,13,23.5470,69.4664
15.4016,14,23.7050,68.9920
15.4016,15,23.8812,68.5242
15.4016,16,24.0743,68.0631
15.4016,17,24.2847,67.6097
15.4016,18,24.5153,67.1661
15.4016,19,24.7618,66.7312
15.4016,20,25.0242,66.3057
15.4016,21,25.3040,65.8913
15.4016,22,25.6021,65.4900
15.4016,23,25.9153,65.1005
15.4016,24,26.2434,64.7234
15.4016,25,26.5981,64.3713
15.4016,26,26.9843,64.0554
15.4016,27,27.3953,63.7751
15.4016,28,27.5647,63.6443
15.4016,29,27.7281,63.5290
15.4016,30,27.8979,63.4234
15.4016,31,28.0725,63.3261
15.4016,32,28.2215,63.2501
16.4504,0,23.4637,70.0321
16.4504,1,23.5741,69.5445
16.4504,2,23.7025,69.0615
16.4504,3,23.8558,68.5857
16.4504,4,24.0341,68.1188
16.4504,5,24.2337,67.6606
16.4504,6,24.4592,67.2145
16.4504,7,24.7068,66.7803
16.4504,8,24.9746,66.3583
16.4504,9,25.2650,65.9514
16.4504,10,25.5742,65.5587
16.4504,11,25.9000,65.1797
16.4504,12,26.2428,64.8158
16.4504,13,26.6009,64.4670
16.4504,14,26.9711,64.1310
16.4504,15,27.3531,63.8085
16.4504,16,27.7466,63.5001
16.4504,17,28.1483,63.2026
16.4504,18,28.5581,62.9161
16.4504,19,28.9758,62.6414
16.4504,20,29.3990,62.3752
16.4504,21,29.8276,62.1177
16.4504,22,30.2613,61.8689
16.4504,23,30.6985,61.6264
16.4504,24,31.1393,61.3904
16.4504,25,31.5831,61.1600
16.4504,26,32.0290,60.9339
16.4504,27,32.4770,60.7120
16.4504,28,32.9265,60.4930
16.4504,29,33.3771,60.2763
16.4504,30,33.8285,60.0613
16.4504,31,34.2803,59.8470
16.4504,32,34.7321,59.6329
16.4504,33,35.1835,59.4178
16.4504,34,35.6342,59.2013
